lat,lon,name,admin1,admin2,cc
40.74842713,-73.99430488,10001, , , 
40.7223135,-73.98770883,10002, , , 
40.73163076,-73.98842651,10003, , , 
40.7038268,-74.0104784,10004, , , 
40.70610778,-74.01581332,10005, , , 
40.7068216,-74.0137315,10006, , , 
40.71426781,-74.00888199,10007, , , 
40.72592528,-73.97890418,10009, , , 
40.73976409,-73.98511119,10010, , , 
40.74083558,-73.99948927,10011, , , 
40.72510791,-73.99818895,10012, , , 
40.715236,-74.0054199,10013, , , 
40.73466648,-74.00480935,10014, , , 
40.7493074,-73.9794184,10016, , , 
40.75249911,-73.97287682,10017, , , 
40.75498596,-73.99208888,10018, , , 
40.76431236,-73.98585208,10019, , , 
40.75929489,-73.97970699,10020, , , 
40.77028746,-73.95978769,10021, , , 
40.7607161,-73.9669622,10022, , , 
40.77717365,-73.98086643,10023, , , 
40.78681329,-73.97647245,10024, , , 
40.79859345,-73.96751052,10025, , , 
40.8030699,-73.9527496,10026, , , 
40.81037756,-73.95022161,10027, , , 
40.7761415,-73.95281088,10028, , , 
40.7836223,-73.9430406,10029, , , 
40.81839874,-73.94349602,10030, , , 
40.82525295,-73.94899294,10031, , , 
40.83846965,-73.94134583,10032, , , 
40.84993002,-73.93586534,10033, , , 
40.86672431,-73.91961863,10034, , , 
40.79789427,-73.93900168,10035, , , 
40.7644002,-73.9988629,10036, , , 
40.8107554,-73.9350453,10037, , , 
40.70933101,-74.00412623,10038, , , 
40.82716987,-73.93752718,10039, , , 
40.8587778,-73.92924447,10040, , , 
33.973,-6.8919999,10044, , , 
40.71218902,-74.0120414,10048, , , 
40.76497818,-73.96472224,10065, , , 
40.7769391,-73.98818554,10069, , , 
40.77361282,-73.95649741,10075, , , 
40.75919238,-73.9774514,10111, , , 
40.78180156,-73.95123654,10128, , , 
40.70896678,-74.01687058,10280, , , 
40.7141575,-74.0150305,10281, , , 
40.71541995,-74.01571874,10282, , , 
40.82045293,-73.91980366,10451, , , 
40.83778184,-73.92231939,10452, , , 
40.85237442,-73.91192447,10453, , , 
40.8077465,-73.91819246,10454, , , 
40.81547058,-73.9088965,10455, , , 
